borne,viteza,nume,fir,r_start,r_end,linie
"2+800
3+200",30,"Bucureşti Nord -
Bucureştii Noi",1,2.8,3.2,100
"26+000
26+050",30,"St. Grădinari
peste sch. 6 din bretea 
2 - 4 - 6 - 8, Cap Y",1,26,26.05,100
"38+150
38+700",30,"Vadu Lat -
Zăvestreni",1,38.15,38.7,100
"45+000
46+600",70,"St. Zăvestreni
linia 2 directă și
zonă aparate de cale Cap X + Cap Y",1,45,46.6,100
"47+300
47+400",50,"Zăvestreni -
Videle",1,47.3,47.4,100
"79+700
81+000",50,"Olteni -
Rădoieşti",1,79.7,81,100
"84+280
85+540",30,"St. Rădoieşti
linia 3 directă",1,84.28,85.54,100
"90+600
90+650",30,"Rădoieşti -
Atârnaţi",1,90.6,90.65,100
"94+300
94+350",30,"Atârnaţi -
Roşiori Nord",1,94.3,94.35,100
"99+300
99+600",30,"St. Roşiori Nord
linia 4 directă, Cap X",1,99.3,99.6,100
"116+800
118+400",70,"St. Mihăeşti
linia 3 directă ",1,116.8,118.4,100
"137+620
137+670",30,"St. Drăgăneşti
linia 3 directă, Cap Y",1,137.62,137.67,100
"142+350
142+430",30,"Drăgăneşti -
Fărcaşele",1,142.35,142.43,100
"138+000
145+500",50,"Drăgăneşti -
Fărcaşele",1,138,145.5,100
"145+500
155+000",70,"Drăgănești - 
Fărcașele  -
Caracal
și linia 3 directă 
Fărcașele
și linia 3 directă Caracal, Cap X",1,145.5,155,100
"167+800
167+900",30,"St. Grozăvești
linia 3 directă Cap X",1,167.8,167.9,100
"249+150
250+300",30,"St. Craiova
linia 3A + 3B",1,249.15,250.3,100
"261+350
261+400",70,"St. Işalniţa
linia 2 directă, Cap X",1,261.35,261.4,100
"285+675
286+400",70,"St. Filiaşi 
linia 2 directă, sch. 53, 16, 10, 8 și 6 ",1,285.675,286.4,100
"287+640
287+690",30,"Filiaşi -
Gura Motrului",1,287.64,287.69,100
"290+500
290+800",15,"Filiaşi -
Gura Motrului",1,290.5,290.8,100
"292+720
292+870",30,"St. Gura Motrului
linia 3 directă",1,292.72,292.87,100
"295+650
296+550",70,"Gura Motrului -
Butoieşti ",1,295.65,296.55,100
"298+250
298+350",30,"St. Butoieşti
linia 3 directă, Cap X",1,298.25,298.35,100
"299+630
309+100",70,"Butoieşti -
Strehaia 
și st. Strehaia
linia 2 directă, Cap X",1,299.63,309.1,100
"310+500
333+050",70,"Strehaia -
Ciochiuța -
Tâmna,
linia 2 directă Tâmna,
Tâmna - 
Igiroasa,
linia 2 directă Igiroasa și Igiroasa - 
Prunișor",1,310.5,333.05,100
"309+100
309+400",30,"St. Strehaia
linia 2 directă, Cap X",1,309.1,309.4,100
"311+200
311+650",30,"Strehaia -
Ciochiuţa ",1,311.2,311.65,100
"314+200
314+250",50,"Strehaia -
Ciochiuţa",1,314.2,314.25,100
"339+300
341+170",30,"Prunișor -
Gârniţa și 
linia 2 directă 
Cap Y, Gârnița",1,339.3,341.17,100
"335+120
335+170",30,"Prunișor -
Gârniţa",1,335.12,335.17,100
"341+170
343+900",60,"Gârniţa -
Balota",1,341.17,343.9,100
"343+900
344+140",30,"St. Balota
linia 2 directă, Cap X",1,343.9,344.14,100
"345+200
353+200",30,"Balota –
Valea Albă
linia 1 directă 
Valea Albă și
Valea Albă -
Post Macazuri",1,345.2,353.2,100
"363+340
363+900",30,"St. Drobeta Tr. Severin
linia 1 ",1,363.34,363.9,100
"363+340
363+475",5,"St. Drobeta Tr. Severin
linia 2 directă, Cap X",1,363.34,363.475,100
"374+450
374+500",30,"Gura Văii - 
Vârciorova  ",1,374.45,374.5,100
"380+600
384+200",30,"St. Vârciorova  
linia 2 directă, Cap Y și 
Vârciorova -
Orșova",1,380.6,384.2,100
"388+200
388+400",30,"St. Orşova
linia 2 directă",1,388.2,388.4,100
"397+950
399+050",30,"St. Topleţ
linia 2 directă",1,397.95,399.05,100
"405+000
405+100",30,"Băile Herculane
linia 1 directă, Cap X",1,405,405.1,100
"415+600
415+700",30,"St. Iablaniţa
linia 2 directă, Cap X",1,415.6,415.7,100
"418+800
418+900",30,"Iablaniţa -
Cruşovăţ",1,418.8,418.9,100
"440+000
440+150",30,"Poarta -
Teregova",1,440,440.15,100
"447+200
447+300",30,"Teregova - 
Armeniș",1,447.2,447.3,100
"449+100
449+250",30,"St. Armeniș
linia 2 directă",1,449.1,449.25,100
"453+600
453+950",30,"Armeniș - 
Slatina Timiș
și linia 2 directă, Cap X Slatina Timiș",1,453.6,453.95,100
"462+050
462+100",30,"St. Vălișoara
linia 2 directă, Cap Y",1,462.05,462.1,100
"463+700
466+400",30,"Vălișoara -
Valea Timișului",1,463.7,466.4,100
"469+750
469+800",30,"St. Balta Sărată 
linia 2 directă, Cap X",1,469.75,469.8,100
"472+800
475+800",30,"St. Balta Sărată -
Caransebeş 
și st. Caransebeş 
linia 2 directă, Cap X
(între semnal X și 
sch. 7)",1,472.8,475.8,100
"491+572
499+800",50,"St. Căvăran
linia 2 directă și
Căvăran -
Găvojdia",1,491.572,499.8,100
"503+420
505+900",70,"St. Găvojdia
linia 3 directă și Găvojdia -
Tapia",1,503.42,505.9,100
"516+600
551+156",70,"St. Lugoj
linia 2 directă,
porțiunea cuprinsă între sch. 28 (extrem) și semnal Y st. Lugoj și 
Lugoj - 
Ax st. Recaș",1,516.6,551.156,100
"551+156
570+670",50,"Ax st. Recaș -
Ax st. Timișoara Est",1,551.156,570.67,100
"586+500
590+800",50,"Timişoara Nord -
Cărpiniş",1,586.5,590.8,100
"597+630
598+535",30,"St. Cărpiniş
linia 2 directă",1,597.63,598.535,100
"26+000
26+050",30,,2,26,26.05,100
"45+000
46+600",70,,2,45,46.6,100
"73+500
74+250",30,"Fără inductori.
Afectează intrări - ieşiri peste sch. 2, 8 și 10.",2,73.5,74.25,100
"84+280
85+880",30,Fără inductori.,2,84.28,85.88,100
"97+600
97+650",30,Fără inductori.,2,97.6,97.65,100
"100+630
100+680",70,"Afectează intrări - ieşiri peste TDJ 42 / 44 și linia 3.
Fără inductori.",2,100.63,100.68,100
"101+800
103+200",30,Fără inductori.,2,101.8,103.2,100
"107+450
108+850",60,"Afectează intrări - ieşiri peste sch. 3, 5 și 4.
Fără inductori.",2,107.45,108.85,100
"115+550
118+400",70,Semnalizată ca limitare de viteză.,2,115.55,118.4,100
"138+550
138+610",30,Fără inductori.,2,138.55,138.61,100
"143+300
143+700",30,Fără inductori.,2,143.3,143.7,100
"147+100
148+450",70,"Afectează intrări - ieşiri peste sch. 1, 9, 11, 4, 6 și 10.
Fără inductori.",2,147.1,148.45,100
"153+800
155+050",70, Fără inductori.,2,153.8,155.05,100
"177+550
177+600",30,"Fără inductori.
Afectează intrări - ieşiri peste sch. 2.",2,177.55,177.6,100
"199+050
199+150",70,"Semnalizată ca limitare de viteză.
Fără inductori.
Afectează intrări - ieşiri peste sch. 4 și 6.",2,199.05,199.15,100
"200+200
200+400",30,Fără inductori.,2,200.2,200.4,100
"261+400
261+500",70,"Fără inductori. 
Afectează intrări - ieşiri peste sch. 5 și 7.
Semnalizată ca limitare de viteză.",2,261.4,261.5,100
"271+500
271+700",50,Fără inductori.,2,271.5,271.7,100
"286+180
286+400",50,"Fără inductori.
Afectează intrări - ieşiri peste sch. 18, 14 și 4.",2,286.18,286.4,100
"287+640
287+690",30,"*Valabil pentru trenurile care au în componență  două locomotive cuplate.
Nesemnalizată pe teren.",2,287.64,287.69,100
"294+700
294+750",30,Fără inductori.,2,294.7,294.75,100
"298+280
299+480",30,Fără inductori.,2,298.28,299.48,100
"303+850
304+100",30,Fără inductori.,2,303.85,304.1,100
"299+480
310+500",70,"Semnalizată ca limitare de viteză.
Din linia 3 directă Strehaia se continuă linia simplă Strehaia - Ciochiuța.",2,299.48,310.5,100
"309+100
309+250",30,"Afectează intrări - ieşiri peste sch. 3, 7 și 9.
Fără inductori.",2,309.1,309.25,100
"310+250
310+300",30,"Fără inductori.
Afectează intrări - ieşiri peste sch. 24.",2,310.25,310.3,100
"354+400
354+700",30,Fără inductori.,2,354.4,354.7,100
"356+850
356+950",50,Fără inductori.,2,356.85,356.95,100
"15+090
15+140",30,"Gilort - 
Tulburea",1,15.09,15.14,116
"17+830
17+880",30,"Gilort -
Tulburea",1,17.83,17.88,116
"18+190
18+240",30,"Gilort -
Tulburea",1,18.19,18.24,116
"20+645
20+695",30,"Tulburea-
Bibești",1,20.645,20.695,116
"21+600
21+710",30,"Tulburea-
Bibești",1,21.6,21.71,116
"25+470
25+520",30,"Tulburea-
Bibesti",1,25.47,25.52,116
"28+740
28+790",30,"Bibeşti -
Musculeşti",1,28.74,28.79,116
"40+850
40+900",30,"St. Jupâneşti
linia 1 directă, Cap X",1,40.85,40.9,116
"45+660
45+740",30,"Jupâneşti -
Cărbuneşti",1,45.66,45.74,116
"51+565
51+615",30,"Pojogeni -
Copăcioasa",1,51.565,51.615,116
"53+270
53+320",30,"Pojogeni -
Copăcioasa",1,53.27,53.32,116
"55+800
55+850",30,"Pojogeni -
Copăcioasa",1,55.8,55.85,116
"69+570
69+620",15,"St. Târgu Jiu
peste TDJ  5 / 7",1,69.57,69.62,116
"74+200
74+300",15,"St. Ec. Teodoroiu
linia 2 directă",1,74.2,74.3,116
"74+300
75+130",50,,1,74.3,75.13,116
"77+685
77+735",30,"Ec. Teodoroiu -
Parângu",1,77.685,77.735,116
"85+660
85+710",30,"St. Bumbești
linia 1 directă",1,85.66,85.71,116
"92+700
92+850",30,"Valea Sadului - 
Meri",1,92.7,92.85,116
"96+250
96+320",30,"Meri -
Lainici",1,96.25,96.32,116
"98+600
99+100",30,"Meri -
Lainici",1,98.6,99.1,116
"100+420
100+480",30,"Meri -
Lainici",1,100.42,100.48,116
"103+930
104+831",30,"Lainici –
Pietrele Albe",1,103.93,104.831,116
"107+500
108+200",30,"St. Pietrele Albe
linia 3 directă",1,107.5,108.2,116
"84+710
83+300",30,"Livezeni
linia 2 directă",1,84.71,83.3,116
"65+450
61+300",30,"Bănița -
Merișor 
și Merișor 
linia 3 directă ",1,65.45,61.3,116
"57+185
56+050",30,"St. Crivadia
liniile 1 și 2 directe",1,57.185,56.05,116
"44+600
44+100",30,"St. Pui
linia 3 directă, Cap X",1,44.6,44.1,116
"36+300
34+800",30,"Băiești -
Subcetate",1,36.3,34.8,116
"30+050
29+500",30,"St. Subcetate
linia 4 directă Cap X",1,30.05,29.5,116
"23+250
21+920",30,St. Bretea Streiului linia 2 directă,1,23.25,21.92,116
"11+650
10+800",60,"Călan -
Călan Băi
și st. Călan Băi
liniile 2 și 3 directe
Cap X",1,11.65,10.8,116
"3+720
3+610",70,"St. Simeria Triaj
Grupa D, linia 1D
Cap X, peste sch. 57A",1,3.72,3.61,116
"3+200
2+100",30,"St. Simeria Triaj
Grupa D, 
linia 5D directă, cuprinsă între 
T.D.J. 64 / 72 şi 
T.D.J. 139 / 141",1,3.2,2.1,116
"77+830
77+535",30,,2,77.83,77.535,116
"64+500
60+800",30,Fără inductori.,2,64.5,60.8,116
"57+185
56+050",30,Fără inductori.,2,57.185,56.05,116
"51+050
55+000",30,Fără inductori.,2,51.05,55,116
"23+250
21+920",30,,2,23.25,21.92,116
"11+650
10+800",60,"Semnalizată ca limitare de viteză.
Cuprinde zona aparatelor de cale din Cap X.",2,11.65,10.8,116
"84+710
85+320",30,"Livezeni -
Iscroni",1,84.71,85.32,117
"97+300
97+800",30,"St. Lupeni Tehnic
linia 3 directă, Cap Y",1,97.3,97.8,117
"0+025
0+100",15,"Petroşani Călători -
Petrila",1,0.025,0.1,118
"4+700
4+900",30,"Caransebeş -
Cornuţel Banat",1,4.7,4.9,120
"11+300
13+000",30,"Cornuţel Banat -
Brebu",1,11.3,13,120
"19+450
19+850",30,"Cornuţel Banat -
Brebu",1,19.45,19.85,120
"21+800
22+250",30,"St. Brebu
linia 1 directă și
Brebu -
Reşiţa Nord",1,21.8,22.25,120
"24+850
24+950",30,"Brebu -
Reşiţa Nord",1,24.85,24.95,120
"28+000
38+615",50,"Brebu -
Reşiţa Nord",1,28,38.615,120
"89+500
110+000",50,"Lugoj -
Buziaș",1,89.5,110,123
"2+000
11+500",50,"Voiteni -
Gătaia",1,2,11.5,124
"15+825
15+875",30,"Voiteni -
Gătaia",1,15.825,15.875,124
"23+600
24+600",50,"Gătaia -
Berzovia",1,23.6,24.6,124
"29+800
32+400",50,"Gătaia -
Berzovia",1,29.8,32.4,124
"35+500
37+300",50,"Berzovia -
Vasiova",1,35.5,37.3,124
"51+900
52+000",10,"Vasiova -
Reşiţa Nord",1,51.9,52,124
"53+300
55+000",30,"Vasiova -
Reşiţa Nord",1,53.3,55,124
"57+200
57+500",10,"Vasiova -
Reşiţa Nord",1,57.2,57.5,124
"64+000
64+540",30,"Reşiţa Nord -
Reşiţa Sud",1,64,64.54,124
